%time,field.O_x,field.O_y,field.O_t,field.I_t,field.G_x,field.G_y
117,0.975616,-0.981976,0.32981,0.238705,0.972824,-0.966163
118,0.975616,-0.981976,0.32981,0.23846,0.972824,-0.966163
119,0.975616,-0.981976,0.32981,0.23862,0.972824,-0.966163
120,0.975616,-0.981976,0.32981,0.238475,0.971876,-0.96833
121,0.975616,-0.981976,0.32981,0.238441,0.971876,-0.96833
122,0.975616,-0.981976,0.32981,0.238286,0.971876,-0.96833
123,0.975616,-0.981976,0.32981,0.238063,0.971876,-0.96833
124,0.975616,-0.981976,0.32981,0.238052,0.971876,-0.96833
125,0.975616,-0.981976,0.32981,0.238089,0.971876,-0.96833
126,0.975616,-0.981976,0.32981,0.238227,0.971876,-0.96833
127,0.975616,-0.981976,0.32981,0.238187,0.971858,-0.967132
128,0.975616,-0.981976,0.32981,0.238414,0.971858,-0.967132
129,0.975616,-0.981976,0.32981,0.238423,0.971858,-0.967132
130,0.975616,-0.981976,0.32981,0.238645,0.971858,-0.967132
131,0.975616,-0.981976,0.32981,0.238523,0.971858,-0.967132
132,0.975616,-0.981976,0.32981,0.238596,0.971858,-0.967132
133,0.975616,-0.981976,0.32981,0.238577,0.971858,-0.967132
134,0.975616,-0.981976,0.32981,0.238487,0.971858,-0.967132
135,0.975616,-0.981976,0.32981,0.238865,0.977579,-0.968667
136,0.975616,-0.981976,0.32981,0.238932,0.977579,-0.968667
137,0.975616,-0.981976,0.32981,0.238692,0.977579,-0.968667
138,0.975616,-0.981976,0.32981,0.238839,0.977579,-0.968667
139,0.975616,-0.981976,0.32981,0.238684,0.977579,-0.968667
140,0.975616,-0.981976,0.32981,0.238658,0.977579,-0.968667
141,0.975616,-0.981976,0.32981,0.23886,0.977579,-0.968667
142,0.975616,-0.981976,0.32981,0.238857,0.977579,-0.968667
143,0.975616,-0.981976,0.32981,0.238724,0.978306,-0.96426
144,0.975616,-0.981976,0.32981,0.238563,0.978306,-0.96426
145,0.975616,-0.981976,0.32981,0.238424,0.978306,-0.96426
146,0.975616,-0.981976,0.32981,0.238421,0.978306,-0.96426
147,0.975616,-0.981976,0.32981,0.238628,0.978306,-0.96426
148,0.975616,-0.981976,0.32981,0.238588,0.978306,-0.96426
149,0.975616,-0.981976,0.32981,0.238507,0.978306,-0.96426
150,0.975616,-0.981976,0.32981,0.238517,0.978306,-0.96426
151,0.975616,-0.981976,0.32981,0.238429,0.978288,-0.964219
152,0.975616,-0.981976,0.32981,0.238601,0.978209,-0.964039
153,0.975616,-0.981976,0.32981,0.238634,0.978209,-0.964039
154,0.975616,-0.981976,0.32981,0.238642,0.978209,-0.964039
155,0.975616,-0.981976,0.32981,0.238594,0.978209,-0.964039
156,0.975616,-0.981976,0.32981,0.238507,0.978209,-0.964039
157,0.975616,-0.981976,0.32981,0.2383,0.978209,-0.964039
158,0.975616,-0.981976,0.32981,0.23815,0.978209,-0.964039
159,0.975616,-0.981976,0.32981,0.238024,0.978209,-0.964039
160,0.975616,-0.981976,0.32981,0.238058,0.978209,-0.964039
161,0.975616,-0.981976,0.32981,0.238067,0.978771,-0.96417
